Arduino Datalogger Output
Temperature and Relative Humidity Sensor Output
Measurements using a AM2301B Sensor
RecordNumber,Time_s,AvgTemperature_DegC,AvgHumidity_%
389,23340.00,18.95,42.45
390,23400.00,18.94,42.39
391,23460.00,18.96,42.27
392,23520.00,18.96,42.19
393,23580.00,18.98,42.15
394,23640.00,18.98,42.11
395,23700.00,19.00,42.09
396,23760.00,18.99,42.12
397,23820.00,19.03,42.13
398,23880.00,19.03,42.16
399,23940.00,19.06,42.21
400,24000.00,19.08,42.21
401,24060.00,19.10,42.19
402,24120.00,19.12,42.29
403,24180.00,19.15,42.23
404,24240.00,19.16,42.23
405,24300.00,19.19,42.27
406,24360.00,19.20,42.31
407,24420.00,19.20,42.35
408,24480.00,19.22,42.30
409,24540.00,19.24,42.34
410,24600.00,19.24,42.30
411,24660.00,19.25,42.29
412,24720.00,19.25,42.28
413,24780.00,19.27,42.28
414,24840.00,19.28,42.29
415,24900.00,19.29,42.30
416,24960.00,19.30,42.29
417,25020.00,19.30,42.29
418,25080.00,19.30,42.27
419,25140.00,19.30,42.29
420,25200.00,19.31,42.25
421,25260.00,19.31,42.27
422,25320.00,19.31,42.30
423,25380.00,19.32,42.31
424,25440.00,19.31,42.24
425,25500.00,19.32,42.26
426,25560.00,19.33,42.25
427,25620.00,19.33,42.21
428,25680.00,19.33,42.27
429,25740.00,19.33,42.26
430,25800.00,19.34,42.28
431,25860.00,19.33,42.27
432,25920.00,19.34,42.22
433,25980.00,19.34,42.21
434,26040.00,19.33,42.22
435,26100.00,19.32,42.20
436,26160.00,19.33,42.22
437,26220.00,19.34,42.19
438,26280.00,19.33,42.20
439,26340.00,19.33,42.23
440,26400.00,19.32,42.22
441,26460.00,19.33,42.22
442,26520.00,19.32,42.21
443,26580.00,19.33,42.22
444,26640.00,19.33,42.21
445,26700.00,19.33,42.19
446,26760.00,19.32,42.16
447,26820.00,19.32,42.13
448,26880.00,19.32,42.13
449,26940.00,19.33,42.17
450,27000.00,19.33,42.19
451,27060.00,19.31,42.19
452,27120.00,19.31,42.15
453,27180.00,19.31,42.16
454,27240.00,19.31,42.14
455,27300.00,19.31,42.12
456,27360.00,19.31,42.12
457,27420.00,19.30,42.12
458,27480.00,19.29,42.09
459,27540.00,19.29,42.10
460,27600.00,19.28,42.09
461,27660.00,19.28,42.11
462,27720.00,19.28,42.07
463,27780.00,19.27,42.09
464,27840.00,19.28,42.06
465,27900.00,19.27,42.07
466,27960.00,19.28,42.07
467,28020.00,19.27,42.06
468,28080.00,19.26,42.05
469,28140.00,19.26,42.06
470,28200.00,19.25,42.04
471,28260.00,19.26,42.04
472,28320.00,19.25,42.03
473,28380.00,19.25,42.01
474,28440.00,19.25,42.00
475,28500.00,19.24,41.99
476,28560.00,19.25,41.95
477,28620.00,19.24,41.89
478,28680.00,19.24,41.80
479,28740.00,19.27,41.83
480,28800.00,19.27,41.80
481,28860.00,19.29,41.78
482,28920.00,19.30,41.75
483,28980.00,19.33,41.78
484,29040.00,19.33,41.79
485,29100.00,19.34,41.77
486,29160.00,19.35,41.71
487,29220.00,19.35,41.68
488,29280.00,19.34,41.64
489,29340.00,19.35,41.65
490,29400.00,19.35,41.65
491,29460.00,19.37,41.65
492,29520.00,19.36,41.57
493,29580.00,19.37,41.59
494,29640.00,19.37,41.59
495,29700.00,19.36,41.56
496,29760.00,19.36,41.55
497,29820.00,19.37,41.54
498,29880.00,19.37,41.54
